Source,Target,Type
House180,Portal de la 80,Undirected
House181,Portal El Dorado,Undirected
House182,Portal de la 80,Undirected
House183,Quirigua,Undirected
House184,Portal de la 80,Undirected
House185,Carrera 90,Undirected
House186,Quirigua,Undirected
House187,Suba - TV. 91,Undirected
House188,Terminal,Undirected
House189,Calle 187,Undirected
House190,Mazurén,Undirected
House191,Portal de Suba,Undirected
House192,Calle 187,Undirected
House193,Portal de Suba,Undirected
House194,Suba - AV. Boyacá,Undirected
House195,Portal de Suba,Undirected
House196,Terminal,Undirected
House197,Terminal,Undirected
House198,Portal de Suba,Undirected
House199,Terminal,Undirected
House200,Portal de Suba,Undirected
House201,Terminal,Undirected
House202,Portal de Suba,Undirected
House203,Toberín,Undirected
House204,21 Ángeles,Undirected
House205,Terminal,Undirected
House206,Terminal,Undirected
House207,Portal de Suba,Undirected
House208,Portal de la 80,Undirected
House209,La Campiña,Undirected
House210,Portal de Suba,Undirected
House211,Portal de Suba,Undirected
House212,Portal de Suba,Undirected
House213,Terminal,Undirected
House214,Portal de Suba,Undirected
House215,Terminal,Undirected
House216,Terminal,Undirected
House217,Portal de Suba,Undirected
House218,Portal de Suba,Undirected
House219,Portal del Norte,Undirected
House220,Calle 187,Undirected
House221,Portal de Suba,Undirected
House222,Portal del Norte,Undirected
House223,La Campiña,Undirected
House224,Calle 187,Undirected
House225,Suba - TV. 91,Undirected
House226,Terminal,Undirected
House227,Terminal,Undirected
House228,Portal de Suba,Undirected
House229,Portal de Suba,Undirected
House230,21 Ángeles,Undirected
House231,21 Ángeles,Undirected
House232,AV. Chile,Undirected
House233,Suba - Calle 95,Undirected
House234,Movistar Arena,Undirected
House235,NQS - Calle 75,Undirected
House236,AV. Chile,Undirected
House237,Simón Bolívar,Undirected
House238,NQS - Calle 75,Undirected
House239,Flores,Undirected
House240,Calle 76,Undirected
House241,Carrera 47,Undirected
House242,CAN,Undirected
House243,U. Nacional,Undirected
House244,AV. El Dorado,Undirected
House245,Quinta Paredes,Undirected
House246,AV. El Dorado,Undirected
House247,Quinta Paredes,Undirected
House248,San Fason Carrera 22,Undirected
House249,Guatoque - Veraguas,Undirected
House250,San Fason Carrera 22,Undirected
House251,San Fason Carrera 22,Undirected
House252,Fucha,Undirected
House253,Fucha,Undirected
House254,Nariño,Undirected
House255,Nariño,Undirected
House256,Nariño,Undirected
House257,NQS - Calle 30 S,Undirected
House258,Pradera,Undirected
House259,Carrera 43,Undirected
House260,Américas - Carrera 53A,Undirected
House261,Comuneros,Undirected
House262,SENA,Undirected
