Source,Target,Type
Puentelargo,Suba - Calle 100,Undirected
Suba - Calle 100,Suba - Calle 95,Undirected
Suba - Calle 95,Rionegro,Undirected
Rionegro,San Martín,Undirected
San Martín,Escuela Militar,Undirected
CAD,Recinto Ferial,Undirected
Comuneros,Guatoque - Veraguas,Undirected
Guatoque - Veraguas,Tygua - San José,Undirected
Ricaurte - NQS,Ricaurte - CL 13,Undirected
AV. Jiménez - Caracas,AV. Jiménez - CL 13,Undirected
